Algorithm,Optimization,Volume,Threads,Time_us,Result
standard,O2,100000,1,27,26075
standard,O2,1000000,1,459,1138
standard,O2,10000000,1,2343,63
standard,O2,100000000,1,23786,47
parallel,O2,100000000,1,23739,47
parallel,O2,100000000,2,22178,47
parallel,O2,100000000,4,12731,47
parallel,O2,100000000,8,12588,47
parallel,O2,100000000,9,12193,47
parallel,O2,100000000,10,12719,47
parallel,O2,100000000,16,11944,47
parallel,O2,100000000,1,24706,47
parallel,O2,100000000,2,22785,47
parallel,O2,100000000,4,12844,47
parallel,O2,100000000,8,11554,47
parallel,O2,100000000,9,12152,47
parallel,O2,100000000,10,11680,47
parallel,O2,100000000,16,11358,47
standard,O0,100000,1,22,26075
standard,O0,1000000,1,257,1138
standard,O0,10000000,1,2239,63
standard,O0,100000000,1,23169,47
standard,O3,100000,1,26,26075
standard,O3,1000000,1,312,1138
standard,O3,10000000,1,2223,63
standard,O3,100000000,1,24090,47
standard,O3,100000,1,13,26075
standard,O3,1000000,1,423,1138
standard,O3,10000000,1,3265,63
standard,O3,100000000,1,23224,47
standard,O0,100000,1,29,26075
standard,O0,1000000,1,264,1138
standard,O0,10000000,1,2409,63
standard,O0,100000000,1,22035,47
standard,O0,100000,1,18,26075
standard,O0,1000000,1,309,1138
standard,O0,10000000,1,2361,63
standard,O0,100000000,1,21979,47
standard,O3,100000,1,17,26075
standard,O3,1000000,1,310,1138
standard,O3,10000000,1,2270,63
standard,O3,100000000,1,24084,47
parallel,O2,100000000,1,28667,47
parallel,O2,100000000,2,19845,47
parallel,O2,100000000,4,13368,47
parallel,O2,100000000,8,11641,47
parallel,O2,100000000,9,12129,47
parallel,O2,100000000,10,12223,47
parallel,O2,100000000,16,13717,47
standard,O2,100000,1,19,26075
standard,O2,1000000,1,321,1138
standard,O2,10000000,1,2243,63
standard,O2,100000000,1,23410,47
